id	relation
412	http://www.wikidata.org/prop/direct/P8693
413	http://www.wikidata.org/prop/direct/P8744
414	http://www.wikidata.org/prop/direct/P8852
415	http://www.wikidata.org/prop/direct/P8865
416	http://www.wikidata.org/prop/direct/P8874
417	http://www.wikidata.org/prop/direct/P8989
418	http://www.wikidata.org/prop/direct/P908
419	http://www.wikidata.org/prop/direct/P91
420	http://www.wikidata.org/prop/direct/P912
421	http://www.wikidata.org/prop/direct/P9138
422	http://www.wikidata.org/prop/direct/P914
423	http://www.wikidata.org/prop/direct/P915
424	http://www.wikidata.org/prop/direct/P92
425	http://www.wikidata.org/prop/direct/P921
426	http://www.wikidata.org/prop/direct/P9237
427	http://www.wikidata.org/prop/direct/P9239
428	http://www.wikidata.org/prop/direct/P9241
429	http://www.wikidata.org/prop/direct/P937
430	http://www.wikidata.org/prop/direct/P9493
431	http://www.wikidata.org/prop/direct/P953
432	http://www.wikidata.org/prop/direct/P97
433	http://www.wikidata.org/prop/direct/P972
434	http://www.wikidata.org/prop/direct/P973
435	http://www.wikidata.org/prop/direct/P9813
436	http://www.wikidata.org/prop/direct/P989
437	http://www.wikidata.org/prop/direct/P990
438	http://www.wikidata.org/prop/direct/P9904
